dataset,seed,n_train,n_val,n_test,epochs_run,best_epoch,train_time_s,train_loss,val_loss,test_loss,train_accuracy,train_precision,train_recall,train_f1,train_tn,train_fp,train_fn,train_tp,val_accuracy,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
Gaussian_2D_Overlap,11,120,40,40,148,98,0.12081598999998278,0.1439735782349262,0.18952191669018723,0.21014612807597363,0.9333333333333333,0.9193548387096774,0.95,0.9344262295081968,55,5,3,57,0.925,0.8695652173913043,1.0,0.9302325581395349,17,3,0,20,0.925,0.9047619047619048,0.95,0.9268292682926829,18,2,1,19
Gaussian_2D_Overlap,12,120,40,40,64,14,0.052830319000008785,0.1553666043525472,0.19449347519502988,0.23954223255290952,0.9416666666666667,0.9491525423728814,0.9333333333333333,0.9411764705882353,57,3,4,56,0.925,0.8695652173913043,1.0,0.9302325581395349,17,3,0,20,0.9,0.9,0.9,0.9,18,2,2,18
Gaussian_2D_Overlap,13,120,40,40,68,18,0.055737215000021934,0.1510549392779201,0.12176632962647696,0.3180042571556853,0.925,0.9047619047619048,0.95,0.9268292682926829,54,6,3,57,0.9,0.9444444444444444,0.85,0.8947368421052632,19,1,3,17,0.925,0.9047619047619048,0.95,0.9268292682926829,18,2,1,19
Gaussian_2D_Overlap,14,120,40,40,262,212,0.21562776799999028,0.13555815164133833,0.18609367373400396,0.14906508492772164,0.9666666666666667,0.9516129032258065,0.9833333333333333,0.9672131147540983,57,3,1,59,0.925,0.9047619047619048,0.95,0.9268292682926829,18,2,1,19,0.9,0.8636363636363636,0.95,0.9047619047619048,17,3,1,19
Gaussian_2D_Overlap,15,120,40,40,59,9,0.04843420299999934,0.22895460044901975,0.1050884160943026,0.10204207704720003,0.9083333333333333,0.8769230769230769,0.95,0.912,52,8,3,57,0.95,0.9090909090909091,1.0,0.9523809523809523,18,2,0,20,0.95,0.95,0.95,0.9500000000000001,19,1,1,19
Gaussian_2D_Overlap,16,120,40,40,53,3,0.04351173600002767,0.15456818529607533,0.20105538711046358,0.22926572919399696,0.9416666666666667,0.9491525423728814,0.9333333333333333,0.9411764705882353,57,3,4,56,0.9,0.8636363636363636,0.95,0.9047619047619048,17,3,1,19,0.9,0.9,0.9,0.9,18,2,2,18
Gaussian_2D_Overlap,17,120,40,40,54,4,0.0446879560000184,0.15349316751703662,0.2117017707343586,0.2284401575923421,0.9333333333333333,0.90625,0.9666666666666667,0.9354838709677419,54,6,2,58,0.9,0.9,0.9,0.9,18,2,2,18,0.925,0.8695652173913043,1.0,0.9302325581395349,17,3,0,20
Gaussian_2D_Overlap,18,120,40,40,56,6,0.04599008600001753,0.2414286739618827,0.07726921789350234,0.09469981681121878,0.9,0.8870967741935484,0.9166666666666666,0.9016393442622951,53,7,5,55,1.0,1.0,1.0,1.0,20,0,0,20,0.95,1.0,0.9,0.9473684210526316,20,0,2,18
Gaussian_2D_Overlap,19,120,40,40,52,2,0.04731712699998525,0.18373711891996347,0.28798361928641797,0.1351469885521884,0.925,0.9322033898305084,0.9166666666666666,0.9243697478991596,56,4,5,55,0.9,0.8636363636363636,0.95,0.9047619047619048,17,3,1,19,0.925,1.0,0.85,0.9189189189189189,20,0,3,17
Gaussian_2D_Overlap,20,120,40,40,52,2,0.05019925900000999,0.15957306100346405,0.2864295582786886,0.15899386342020422,0.925,0.9180327868852459,0.9333333333333333,0.9256198347107439,55,5,4,56,0.9,0.9,0.9,0.9,18,2,2,18,0.95,0.9090909090909091,1.0,0.9523809523809523,18,2,0,20
Gaussian_2D_Overlap,21,120,40,40,52,2,0.050278786000035325,0.2015101326209053,0.2502881012406736,0.1812622068677418,0.925,0.9180327868852459,0.9333333333333333,0.9256198347107439,55,5,4,56,0.9,0.8333333333333334,1.0,0.9090909090909091,16,4,0,20,0.975,0.9523809523809523,1.0,0.975609756097561,19,1,0,20
Gaussian_2D_Overlap,22,120,40,40,167,117,0.1618151609999927,0.16523141879514675,0.17687646198293022,0.15948082579736772,0.9416666666666667,0.9076923076923077,0.9833333333333333,0.944,54,6,1,59,0.9,0.9,0.9,0.9,18,2,2,18,0.9,0.9,0.9,0.9,18,2,2,18
Gaussian_2D_Overlap,23,120,40,40,65,15,0.05783609799999567,0.1866707312802685,0.10865880482381438,0.22203197784579115,0.925,0.9047619047619048,0.95,0.9268292682926829,54,6,3,57,0.95,0.95,0.95,0.9500000000000001,19,1,1,19,0.925,0.9473684210526315,0.9,0.9230769230769231,19,1,2,18
Gaussian_2D_Overlap,24,120,40,40,156,106,0.12628335900001275,0.08811088698659189,0.23592730074126395,0.3374475313971422,0.9666666666666667,0.9516129032258065,0.9833333333333333,0.9672131147540983,57,3,1,59,0.925,0.9047619047619048,0.95,0.9268292682926829,18,2,1,19,0.875,0.8571428571428571,0.9,0.8780487804878048,17,3,2,18
Gaussian_2D_Overlap,25,120,40,40,60,10,0.04895683600000211,0.17594909285011387,0.23752351807287164,0.11989938768848929,0.9416666666666667,0.9206349206349206,0.9666666666666667,0.943089430894309,55,5,2,58,0.9,0.9,0.9,0.9,18,2,2,18,0.925,0.9473684210526315,0.9,0.9230769230769231,19,1,2,18
Gaussian_2D_Overlap,26,120,40,40,133,83,0.10820818700000245,0.16592072531248997,0.2401266073530921,0.07060113775514838,0.925,0.9047619047619048,0.95,0.9268292682926829,54,6,3,57,0.925,0.9047619047619048,0.95,0.9268292682926829,18,2,1,19,1.0,1.0,1.0,1.0,20,0,0,20
